,user_id,birthday,gender,auction_id,category_2,category_1,buy_mount,day,age_days
0,2757,2013-03-11,1,17429550751,50010555,50008168,1,2013-04-10,30
1,415971,2012-11-11,0,20854308837,50010548,50008168,1,2013-01-28,78
2,1372572,2012-01-30,1,16915013171,50008845,28,1,2013-03-27,422
3,10339332,2011-09-10,0,13174075495,50001732,50014815,1,2014-05-26,989
4,10642245,2013-02-13,0,14109039851,50006843,38,1,2013-06-17,124
5,10923201,2011-08-30,1,19166868327,50013636,50008168,1,2014-03-28,941
6,11768880,2012-01-07,1,19025967309,50012364,122650008,1,2013-04-11,460
7,12519465,2013-07-05,1,18981655392,50018831,50014815,1,2013-09-10,67
8,12950574,2009-07-08,0,37840677938,50012474,28,3,2014-06-10,1798
9,13735440,2012-03-23,0,18163455793,211122,38,6,2013-12-19,636
10,14510892,2014-08-12,1,35241818543,203527,28,1,2013-11-22,-263
11,14905422,2011-04-29,1,40739265133,50234023,50014815,1,2015-02-05,1378
12,15786531,2008-09-22,0,40445341453,50010557,50008168,1,2014-08-28,2166
13,16265490,2009-12-09,0,9497763160,50006602,50008168,2,2013-04-09,1217
14,17431245,2011-01-15,0,9757291856,50016116,38,1,2012-11-11,666
15,18190851,2011-01-01,0,17092246580,50014129,28,2,2013-03-31,820
16,20087991,2010-08-08,0,37848480268,50016706,50022520,1,2014-06-01,1393
17,20570454,2008-10-17,1,5764432116,211122,38,4,2012-11-24,1499
18,21137271,2011-02-04,1,17691567559,50013636,50008168,1,2012-11-22,657
19,21415917,2006-08-01,1,16866228043,50013636,50008168,2,2012-08-08,2199
20,21887268,2010-05-26,0,35498150675,50006602,50008168,2,2013-12-16,1300
21,22602471,2009-06-01,1,37335072772,50016102,28,1,2015-01-01,2040
22,23208537,2008-04-16,1,12897458131,50013636,50008168,1,2013-01-20,1740
23,23927133,2008-10-29,0,9566799856,50016243,28,1,2013-01-21,1545
24,24829944,2014-08-26,1,15098657498,50011819,50022520,2,2014-09-20,25
25,25807593,2014-11-22,1,14593091524,50026459,50022520,5,2014-07-22,-123
26,26629842,2013-11-24,0,41721177698,50010544,50008168,1,2014-12-12,383
27,27213666,2008-04-13,0,19661743129,50013207,50008168,1,2013-06-29,1903
29,31235454,2011-03-19,0,16674140540,50013207,50008168,1,2014-10-07,1298
31,33062883,2010-08-14,1,37219507191,50013207,50008168,1,2014-05-09,1364
32,34582044,2012-11-01,0,43428724709,50010538,50008168,1,2015-01-11,801
33,34911780,2010-03-02,1,16873424587,50016240,50014815,2,2012-08-13,895
34,35831517,2011-07-08,0,39512885303,50011993,28,1,2014-12-30,1271
35,37273026,2012-02-12,1,5450218363,50018854,38,6,2013-11-05,632
36,38061660,2011-12-03,1,19866862313,50010549,50008168,1,2013-11-11,709
37,40305507,2011-10-17,1,36380970504,50013636,50008168,1,2013-12-13,788
38,41643429,2014-03-22,1,12715037736,50024627,28,1,2014-10-10,202
39,42687654,2009-05-15,1,36544264727,50010538,50008168,1,2014-01-06,1697
40,43241697,2012-05-12,0,19671833975,50012367,122650008,1,2014-02-13,642
41,44716356,2013-02-11,0,36207455567,50012474,28,1,2014-04-27,440
42,46013049,2014-04-08,1,40782358000,50023792,28,1,2014-09-23,168
43,46951908,2009-12-17,1,21763132643,50023536,28,1,2014-08-29,1716
44,47742510,2014-07-27,0,13518730030,121398035,50022520,1,2014-10-19,84
45,48655521,2011-01-01,0,35017672642,50023661,28,1,2013-11-27,1061
46,49167150,2013-08-18,2,74054275,50009550,50014815,1,2013-10-31,74
47,49983255,2014-02-06,2,42802840988,50010536,50008168,1,2014-12-09,306
48,50238258,2010-12-06,1,24784096636,50018412,50014815,1,2013-05-14,890
49,51103674,2011-08-17,0,20437260826,50007140,28,1,2013-05-01,623
50,51880578,2011-01-07,0,25498040503,50023709,28,1,2013-08-07,943
51,52529655,2013-06-11,2,41700127609,50012363,122650008,1,2014-11-11,518
52,52744851,2012-08-22,1,17440629603,50010236,50014815,1,2013-04-01,222
53,53433471,2012-09-03,1,18443716949,251725,28,1,2013-06-17,287
54,54855720,2013-01-28,0,39635136808,50018436,50014815,2,2014-09-13,593
55,55875510,2012-08-03,0,37278421412,50013207,50008168,1,2014-02-21,567
56,56663970,2009-11-16,1,8007595536,50016034,28,1,2013-10-25,1439
57,57494340,2014-05-18,0,20062826101,50012456,50014815,10,2014-03-08,-71
58,57711375,2013-04-20,2,12917121510,50013175,28,1,2012-09-14,-218
59,58199199,2011-07-02,0,16436704905,211122,38,4,2012-10-16,472
60,58463787,2010-09-28,1,35348722557,203527,28,1,2013-10-26,1124
61,59069103,2006-04-13,0,10491058986,251725,28,1,2012-07-19,2289
62,59596068,2013-04-28,1,13044166016,50007011,50008168,1,2013-04-12,-16
63,60387171,2013-02-16,1,35323826536,50018831,50014815,1,2015-01-27,710
64,61079421,2013-05-01,1,18769969047,50014274,50014815,1,2013-08-03,94
65,61620681,2013-03-08,0,35055137651,50007011,50008168,1,2013-11-11,248
66,62879667,2011-12-05,0,35633055239,121394024,50008168,1,2014-12-12,1103
67,64343163,2010-01-23,1,26101924419,50012451,50008168,1,2013-07-05,1259
68,65312343,2009-06-27,1,27144848296,50012359,122650008,1,2013-11-27,1614
69,66248748,2012-09-08,0,14869136708,50012456,50014815,1,2012-07-14,-56
70,66755460,2011-03-07,1,6237968940,50010555,50008168,1,2014-03-02,1091
71,67443207,2008-01-01,0,18921322045,50012360,122650008,1,2013-08-02,2040
72,67985523,2012-07-13,0,20193534613,50014271,50014815,1,2014-01-02,538
73,69057729,2011-01-05,1,41329822560,50018831,50014815,1,2015-01-27,1483
74,69435486,2012-08-21,1,41564495005,50013636,50008168,1,2014-11-11,812
75,70069665,2010-04-15,0,15962074584,50007011,50008168,1,2012-12-12,972
76,70835010,2014-05-22,0,35202523813,50023591,50022520,1,2013-11-20,-183
77,71726532,2011-05-15,0,38898923007,121466023,50008168,1,2014-07-09,1151
78,72231900,2011-02-21,0,18192190705,251725,28,1,2014-04-26,1160
79,72746697,2014-02-22,1,37346822188,121394024,50008168,1,2014-08-17,176
80,73291425,2010-06-28,0,41088982319,50012365,122650008,1,2014-12-20,1636
81,74459175,2013-03-09,0,13155318835,50012564,50014815,5,2014-07-20,498
82,75343881,2012-02-25,0,17908085498,50013636,50008168,1,2013-04-13,413
83,75613245,2011-11-22,1,37880332798,50006602,50008168,1,2014-03-25,854
84,76580427,2012-03-07,1,25481540232,50014274,50014815,1,2013-06-07,457
85,77933013,2010-07-02,1,17958495541,50023790,28,1,2013-09-10,1166
86,78375309,2013-03-22,1,26632468078,50013636,50008168,1,2013-08-16,147
87,78962691,2013-02-18,0,37551736045,50012363,122650008,1,2014-06-04,471
88,80014536,2012-06-15,1,15046969968,50015969,50014815,1,2012-08-31,77
89,80512596,2013-02-08,0,36131873399,50012363,122650008,1,2014-02-20,377
90,81793389,2013-09-04,0,4192029603,50012396,50022520,1,2013-03-18,-170
91,82783545,2014-04-16,1,7654468248,50007011,50008168,2,2014-03-21,-26
92,83472357,2013-01-20,1,12555432766,50005982,50014815,1,2013-06-11,142
93,84835944,2011-10-08,0,9572765527,50018831,50014815,1,2012-10-08,366
