user_id,birthday,gender
2757,20130311,1
415971,20121111,0
1372572,20120130,1
10339332,20110910,0
10642245,20130213,0
10923201,20110830,1
11768880,20120107,1
12519465,20130705,1
12950574,20090708,0
13735440,20120323,0
14510892,20140812,1
14905422,20110429,1
15786531,20080922,0
16265490,20091209,0
17431245,20110115,0
18190851,20110101,0
20087991,20100808,0
20570454,20081017,1
21137271,20110204,1
21415917,20060801,1
21887268,20100526,0
22602471,20090601,1
23208537,20080416,1
23927133,20081029,0
24829944,20140826,1
25807593,20141122,1
26629842,20131124,0
27213666,20080413,0
30595206,20070918,0
31235454,20110319,0
31795068,20071124,0
33062883,20100814,1
34582044,20121101,0
34911780,20100302,1
35831517,20110708,0
37273026,20120212,1
38061660,20111203,1
40305507,20111017,1
41643429,20140322,1
42687654,20090515,1
43241697,20120512,0
44716356,20130211,0
46013049,20140408,1
46951908,20091217,1
47742510,20140727,0
48655521,20110101,0
49167150,20130818,2
49983255,20140206,2
50238258,20101206,1
51103674,20110817,0
51880578,20110107,0
52529655,20130611,2
52744851,20120822,1
53433471,20120903,1
54855720,20130128,0
55875510,20120803,0
56663970,20091116,1
57494340,20140518,0
57711375,20130420,2
58199199,20110702,0
58463787,20100928,1
59069103,20060413,0
59596068,20130428,1
60387171,20130216,1
61079421,20130501,1
61620681,20130308,0
62879667,20111205,0
64343163,20100123,1
65312343,20090627,1
66248748,20120908,0
66755460,20110307,1
67443207,20080101,0
67985523,20120713,0
69057729,20110105,1
69435486,20120821,1
70069665,20100415,0
70835010,20140522,0
71726532,20110515,0
72231900,20110221,0
72746697,20140222,1
73291425,20100628,0
74459175,20130309,0
75343881,20120225,0
75613245,20111122,1
76580427,20120307,1
77933013,20100702,1
78375309,20130322,1
78962691,20130218,0
80014536,20120615,1
80512596,20130208,0
81793389,20130904,0
82783545,20140416,1
83472357,20130120,1
84835944,20111008,0
86731623,20131226,0
87659835,20110930,1
88290456,20090118,0
89520261,19840616,0
91177545,20100203,0
92116962,20120526,1
93332442,20111102,0
94472106,20091105,0
95428725,20120331,0
96476817,20120813,0
97489185,20140429,1
98246781,20120618,1
99665637,20130926,2
102088293,20130525,1
105361095,20130116,1
106828323,20140201,0
109404219,20070409,0
111621945,20130809,1
113243127,20110226,0
114558810,20080914,0
115930791,20130519,0
116466705,20130101,0
118300134,20110503,0
119784861,20120327,0
123044613,20111210,1
124527924,20110930,1
126581934,20110519,0
127931487,20120703,0
130211481,20081209,0
131021484,20091008,0
132357204,20111125,1
133595268,20110919,1
136997100,20130113,1
138180945,20080928,0
139924698,20120117,1
141595593,20081222,0
143220732,20081216,1
150404943,20050618,0
151742451,20140121,2
154930665,20110218,0
155969997,20120505,0
159129426,20100825,0
163555902,20090502,1
166937481,20130620,1
172453374,20130206,1
174880005,20070910,0
180473754,20130522,0
186418698,20120118,1
188799366,20111130,1
191156136,20130415,0
196293483,20100117,1
197066280,20080510,0
198339735,20110128,0
199354107,20100310,1
201402855,20081218,0
211057395,20080311,0
219658557,20130220,1
224653845,20111114,1
229407174,20081223,0
235795692,20130425,0
241837911,20121225,0
250900287,20130708,1
255635397,20130607,1
260087412,20130309,0
264579453,20140512,0
267910347,20071121,0
272757969,20110224,0
275261625,20100525,0
276219687,20130529,1
277629531,20130830,2
279722190,20090318,0
286307391,20111009,0
292966044,20100916,1
300931383,20131219,0
305489040,20130811,1
316263477,20110717,1
322204938,20130626,0
325759617,20100812,1
326454822,20090403,1
332182758,20120714,1
338734269,20130926,1
343603914,20130225,1
348109281,20100208,1
352463907,20110402,0
354804408,20130327,0
357851268,20120621,1
359890617,20140324,0
360647838,20140120,0
363164958,20141229,0
367595379,20100923,1
371646807,20140915,1
373726419,20130828,0
378028878,20120208,0
379910739,20110226,0
384841734,20120830,1
387079260,20131018,1
389377821,20140520,0
393226650,20130425,1
396311979,20110926,1
403609077,20110802,0
405674478,20121028,1
408325776,20140505,0
410161398,20070506,1
412025994,20130402,1
414338337,20150123,1
419554296,20120709,1
422641140,20120820,1
426768576,20130401,1
438010029,20120807,1
442973445,20130520,1
451100817,20110724,1
460971987,20111001,0
474782625,20140715,1
478118517,20131103,0
486503874,20120910,1
502828062,20111017,1
515908401,20110714,0
528643545,20121204,0
550066806,20131101,1
573822792,20141226,0
581726208,20150815,1
592767759,20140824,1
602646492,20130712,1
606024981,20140326,0
620090085,20140908,1
628378860,20120816,0
633734925,20120324,0
645596397,20130220,0
648024036,20110730,1
648783804,20070609,0
652992315,20081231,0
656871588,20110905,1
660371928,20130305,1
665216877,20140226,0
669342381,20131018,1
672591831,20140807,1
674462565,20131028,1
676404930,20141215,1
679878153,20130927,0
682888656,20150406,1
686047242,20100304,0
690267186,20140104,2
693449541,20070113,1
698867133,20140925,0
705109899,20150318,0
707774847,20110331,0
712034589,20110106,0
714919791,20120316,1
717297456,20130612,1
718935048,20121028,0
723397857,20110917,0
726334191,20100225,1
728180676,20101212,0
730302768,20110330,1
732541962,20121228,1
734958687,20120916,1
737930496,20140515,1
741473940,20140723,1
743631006,20130224,1
746338356,20130806,1
750833184,20101104,0
753852498,20131011,0
756621534,20141016,1
758277216,20141026,0
761265678,20130927,1
764418129,20121012,1
766386444,20140115,0
771232308,20100415,0
775276242,20110201,0
779336988,20100310,1
785311611,20121003,0
787693926,20081226,1
793020597,20120427,0
798742650,20131104,1
805018083,20121006,1
809862801,20140121,1
816959238,20120621,0
824413527,20131201,0
827639760,20140101,0
829440261,20131218,0
838135776,20130206,0
844344519,20120210,1
848302497,20140218,1
849430227,20140619,0
859624068,20110824,1
870668820,20140211,1
874621830,20101220,1
883158198,20130610,1
886997790,20141130,0
902549448,20130615,2
914074800,20140219,2
925964568,20090330,1
1017818160,20111020,0
1033466085,20120411,0
1040350341,20140628,0
1045319175,20110209,1
1049355963,20120702,0
1055336274,20120429,1
1060518588,20130815,2
1075810191,20140718,1
1083497049,20140815,0
1089343761,20131205,0
1100388114,20141011,0
1113460719,20130504,0
1125759387,20140811,1
1132472679,20141030,0
1593516816,20090618,1
1635059595,20070919,1
1643805171,20140509,1
1658032434,20121022,1
1672630998,20140302,1
1692582408,20120712,0
1706543412,20110105,1
1730315664,20120629,0
1766969850,20130613,0
1783121841,20040323,0
1817973372,20120223,1
1834895775,20090515,0
1858557399,20141115,1
1911445233,20120430,1
1944471144,20130819,1
1990421511,20141021,0
2062636887,20150315,1
2118737046,20140411,1
2230873305,20120201,0
2298687186,20121009,1
330830,20091007,0
645557,20120207,0
1567601,20120707,0
10502300,20120504,0
11461439,20130307,1
12155387,20090805,1
12576056,20110611,0
13101455,20110819,0
13802003,20111022,1
14342858,20110207,0
14785577,20080820,0
16031078,20120325,0
16992440,20120516,0
17830874,20130927,2
21185033,20060407,1
22337360,20040912,0
22775189,20120419,0
23256752,20120712,1
23779676,20100109,1
24466085,20110903,0
25176194,20140913,1
26184254,20121221,0
27488537,20090616,0
31036295,20120205,1
32802731,20051130,0
33702305,20130318,0
34296803,20090414,0
35497496,20091020,1
36134771,20141117,1
37050995,20121022,0
37613228,20120321,0
38060393,20110801,1
39712478,20130212,0
40183850,20120611,1
41338352,20080130,0
42558014,20100704,0
44253932,20100113,1
45661628,20131015,1
46577846,20120518,0
47342027,20101008,1
47737028,20120320,1
48419732,20100409,0
48922355,20110715,0
49561550,20130604,1
50168231,20090428,0
51150884,20081129,1
51598634,20110612,0
52404311,20100924,1
52971251,20130617,0
53538638,20131106,1
54451652,20100602,0
54925736,20130428,0
55867871,20120623,1
56736746,20121105,1
57970535,20130114,1
58244867,20101015,1
58666247,20140307,0
59441576,20100223,1
60290489,20091101,0
61127135,20120317,1
61526102,20110523,0
62380766,20120313,1
62789705,20131111,0
63437351,20121015,0
63741599,20110324,0
65079983,20130804,1
65651861,20111124,1
66569606,20120123,1
67170281,20120612,1
67555313,20070601,0
68067107,20121114,1
69203525,20100123,1
69841787,20140725,0
71850476,20120513,1
72088976,20141106,1
72875105,20120802,0
73973378,20120404,0
75104744,20140315,1
76076096,20140428,1
77723093,20131221,0
78613406,20071104,1
79823567,20140409,1
81094748,20090323,0
82248938,20141230,0
83744798,20120805,1
84725909,20090918,0
85189793,20090313,1
86967455,20070805,0
88830644,20140325,1
89800466,20110331,0
91156811,20120525,0
92192666,20110922,0
93083084,20131211,0
94577459,20120706,0
95849627,20061223,0
98425070,20140127,1
